지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
서울,2013.7.27,0.2,0.2,20:01
서울,2013.7.28,11,6,8:16
서울,2013.7.29,3.5,3.5,2:37
서울,2013.7.30,9.5,5.5,20:50
서울,2013.7.31,8.5,8.5,1:40
서울,2013.8.1,,,
서울,2013.8.2,7.5,5,5:40
서울,2013.8.3,0.1,0.1,
서울,2013.8.4,4.5,3.5,6:31
서울,2013.8.5,7,3,16:08
서울,2013.8.6,45,43.5,12:40
서울,2013.8.7,,,
서울,2013.8.8,,,
서울,2013.8.9,0,0,
서울,2013.8.10,2,1.5,11:45
서울,2013.8.11,,,
서울,2013.8.12,,,
서울,2013.8.13,,,
서울,2013.8.14,,,
서울,2013.8.15,0,0,
서울,2013.8.16,4.5,4.5,4:50
서울,2013.8.17,,,
서울,2013.8.18,13,17.3,23:16
서울,2013.8.19,6,4.5,0:00
서울,2013.8.20,,,
서울,2013.8.21,,,
서울,2013.8.22,0,0,
서울,2013.8.23,35,20.5,4:15
서울,2013.8.24,,,
서울,2013.8.25,,,
서울,2013.8.26,,,
서울,2013.8.27,,,
서울,2013.8.28,,,
서울,2013.8.29,21.5,13.5,12:05
서울,2013.8.30,,,
서울,2013.8.31,2.5,2.5,18:50
서울,2013.9.1,,,
서울,2013.9.2,,,
서울,2013.9.3,,,
서울,2013.9.4,,,
서울,2013.9.5,0,0,
서울,2013.9.6,0,0,
서울,2013.9.7,,,
서울,2013.9.8,,,
서울,2013.9.9,,,
서울,2013.9.10,11.5,6.5,16:48
서울,2013.9.11,36.5,9,5:09
서울,2013.9.12,0.5,0.5,19:53
서울,2013.9.13,50,13,10:37
서울,2013.9.14,11.5,7,5:02
서울,2013.9.15,,,
서울,2013.9.16,,,
서울,2013.9.17,,,
서울,2013.9.18,,,
서울,2013.9.19,,,
서울,2013.9.20,,,
서울,2013.9.21,,,
서울,2013.9.22,0,0,
서울,2013.9.23,,,
서울,2013.9.24,4.5,1.5,8:07
서울,2013.9.25,,,
서울,2013.9.26,,,
서울,2013.9.27,,,
서울,2013.9.28,4,2,23:29
서울,2013.9.29,19,6,2:19
서울,2013.9.30,1,1,5:17
서울,2013.10.1,,,
서울,2013.10.2,,,
서울,2013.10.3,,,
서울,2013.10.4,,,
서울,2013.10.5,,,
서울,2013.10.6,0,0,
서울,2013.10.7,,,
서울,2013.10.8,3,0.5,8:24
서울,2013.10.9,,,
서울,2013.10.10,,,
서울,2013.10.11,6.5,6,3:58
서울,2013.10.12,,,
서울,2013.10.13,,,
서울,2013.10.14,,,
서울,2013.10.15,3.5,2,10:13
서울,2013.10.16,,,
서울,2013.10.17,,,
서울,2013.10.18,,,
서울,2013.10.19,,,
서울,2013.10.20,,,
서울,2013.10.21,,,
서울,2013.10.22,,,
서울,2013.10.23,,,
서울,2013.10.24,,,
서울,2013.10.25,,,
서울,2013.10.26,,,
서울,2013.10.27,,,
서울,2013.10.28,,,
서울,2013.10.29,0.5,0.5,16:35
서울,2013.10.30,,,
서울,2013.10.31,,,
서울,2013.11.1,,,
서울,2013.11.2,7.5,,
서울,2013.11.3,0,,
서울,2013.11.4,,,
서울,2013.11.5,,,
서울,2013.11.6,1,,
서울,2013.11.7,0.1,,
서울,2013.11.8,,,
서울,2013.11.9,5.5,,
서울,2013.11.10,0,,
서울,2013.11.11,,,
서울,2013.11.12,,,
서울,2013.11.13,,,
서울,2013.11.14,1,,
서울,2013.11.15,2,,
서울,2013.11.16,2,,
서울,2013.11.17,1,,
서울,2013.11.18,0,,
서울,2013.11.19,0,,
서울,2013.11.20,,,
서울,2013.11.21,,,
서울,2013.11.22,,,
서울,2013.11.23,,,
서울,2013.11.24,14,,
서울,2013.11.25,9.5,,
서울,2013.11.26,1.5,,
서울,2013.11.27,1.7,,
서울,2013.11.28,,,
서울,2013.11.29,0,,
서울,2013.11.30,,,
서울,2013.12.1,,,
서울,2013.12.2,0,,
서울,2013.12.3,,,
서울,2013.12.4,,,
서울,2013.12.5,,,
서울,2013.12.6,0,,
서울,2013.12.7,0.1,,
서울,2013.12.8,0,,
서울,2013.12.9,14,,
서울,2013.12.10,,,
서울,2013.12.11,2.6,,
서울,2013.12.12,4.1,,
서울,2013.12.13,,,
서울,2013.12.14,1.1,,
서울,2013.12.15,,,
서울,2013.12.16,,,
서울,2013.12.17,,,
서울,2013.12.18,0.8,,
서울,2013.12.19,0.3,,
서울,2013.12.20,0,,
서울,2013.12.21,,,
서울,2013.12.22,,,
서울,2013.12.23,,,
서울,2013.12.24,,,
서울,2013.12.25,,,
서울,2013.12.26,1.6,,
서울,2013.12.27,,,
서울,2013.12.28,,,
서울,2013.12.29,0.1,,
서울,2013.12.30,,,
서울,2013.12.31,,,
서울,2014.1.1,0,,
서울,2014.1.2,,,
서울,2014.1.3,,,
서울,2014.1.4,,,
서울,2014.1.5,,,
서울,2014.1.6,,,
서울,2014.1.7,0,,
서울,2014.1.8,0,,
서울,2014.1.9,,,
서울,2014.1.10,0,,
서울,2014.1.11,,,
서울,2014.1.12,0,,
서울,2014.1.13,,,
서울,2014.1.14,,,
서울,2014.1.15,,,
서울,2014.1.16,,,
서울,2014.1.17,,,
서울,2014.1.18,,,
서울,2014.1.19,0,,
서울,2014.1.20,5.3,,
서울,2014.1.21,0.7,,
서울,2014.1.22,,,
서울,2014.1.23,,,
서울,2014.1.24,,,
서울,2014.1.25,3,,
서울,2014.1.26,,,
서울,2014.1.27,,,
서울,2014.1.28,0.5,,
서울,2014.1.29,,,
서울,2014.1.30,3.5,,
서울,2014.1.31,,,
서울,2014.2.1,11,,
서울,2014.2.2,0.5,,
서울,2014.2.3,,,
서울,2014.2.4,,,
서울,2014.2.5,,,
서울,2014.2.6,,,
서울,2014.2.7,0,,
서울,2014.2.8,4.3,,
서울,2014.2.9,0.2,,
서울,2014.2.10,0.2,,
서울,2014.2.11,,,
서울,2014.2.12,0,,
서울,2014.2.13,,,
서울,2014.2.14,,,
서울,2014.2.15,,,
서울,2014.2.16,,,
서울,2014.2.17,,,
서울,2014.2.18,,,
서울,2014.2.19,,,
서울,2014.2.20,,,
서울,2014.2.21,,,
서울,2014.2.22,,,
서울,2014.2.23,,,
서울,2014.2.24,,,
서울,2014.2.25,,,
서울,2014.2.26,,,
서울,2014.2.27,,,
서울,2014.2.28,,,
서울,2014.3.1,,,
서울,2014.3.2,,,
서울,2014.3.3,,,
서울,2014.3.4,,,
서울,2014.3.5,0,,
서울,2014.3.6,0,,
서울,2014.3.7,,,
서울,2014.3.8,,,
서울,2014.3.9,2.2,,
서울,2014.3.10,,,
서울,2014.3.11,,,
서울,2014.3.12,0.2,,
서울,2014.3.13,0,,
서울,2014.3.14,,,
서울,2014.3.15,,,
서울,2014.3.16,,,
서울,2014.3.17,0.5,,
서울,2014.3.18,0.4,,
서울,2014.3.19,,,
서울,2014.3.20,0.4,,
서울,2014.3.21,,,
서울,2014.3.22,,,
서울,2014.3.23,,,
서울,2014.3.24,0,,
서울,2014.3.25,0,,
서울,2014.3.26,0,,
서울,2014.3.27,,,
서울,2014.3.28,,,
서울,2014.3.29,3.5,,
서울,2014.3.30,0,,
서울,2014.3.31,,,
서울,2014.4.1,,,
서울,2014.4.2,,,
서울,2014.4.3,0.5,0.5,11:18
서울,2014.4.4,,,
서울,2014.4.5,0,0,
서울,2014.4.6,,,
서울,2014.4.7,,,
서울,2014.4.8,,,
서울,2014.4.9,,,
서울,2014.4.10,,,
서울,2014.4.11,,,
서울,2014.4.12,,,
서울,2014.4.13,,,
서울,2014.4.14,,,
서울,2014.4.15,,,
서울,2014.4.16,,,
서울,2014.4.17,3,2,19:04
서울,2014.4.18,,,
서울,2014.4.19,,,
서울,2014.4.20,,,
서울,2014.4.21,,,
서울,2014.4.22,,,
서울,2014.4.23,,,
서울,2014.4.24,,,
서울,2014.4.25,,,
서울,2014.4.26,,,
서울,2014.4.27,8.5,3.5,2:52
서울,2014.4.28,13.5,3,12:39
서울,2014.4.29,5.5,3.5,5:19
서울,2014.4.30,0,,
서울,2014.5.1,,,
서울,2014.5.2,1,1,16:16
서울,2014.5.3,,,
서울,2014.5.4,0.2,0.2,
서울,2014.5.5,,,
서울,2014.5.6,,,
서울,2014.5.7,2,1.5,20:50
